date_time v002 v003 v004 v005 v012 v016 v017 v018 v019 v020 v021 v022 v029 v030 v035 v036 v037 v038 v044 v047 v048 v051 v052 v053 v061 v062 v063 v064 v070 v073 v074 v081 v082 v083 v084 v085 v086 v087 v088 v089 v090 v091 
196992416252170 13 13 0 2500 25 0 0 0 0 0 0 537 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 79.6 80 80.3 80 64.8 
196992416252180 13 13 11 2500 25 0 0 0 0 0 0 538 0 0 0 0 0 0 0 0 0 125.2 125 124.5 0 0 0 0 0 0 0 0 0 124.4 125 124.6 125 79.6 80 80.3 80 64.8 
196992416252190 13 13 1081 2500 25 0 124 0 0 0 0 40 0 0 0 0 0 0 0 0 0 124.8 125 124.5 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 79.6 80 80.3 80 64.8 
196992416252200 13 13 2353 2500 25 158 133 0 0 0 0 0 0 0 0 0 0 0 0 0 0 125.2 125 124.7 0 0 0 0 0 0 0 0 0 124.4 125 124.6 125 79.6 80 80.3 80 64.8 
196992416252210 13 13 2484 2500 25 31 131 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 125 125 79.6 80 80.3 80 64.8 
196992416252220 13.3 13 2493 2500 25 7 126 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.4 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 125 125 79.6 80 80.3 80 64.8 
196992416252230 13.3 13 2499 2500 25 2 120 0 0 0 0 0 0 0 0 0 0 0 0 0 0 124.8 125 124.5 0 0 0 0 0 0 0 0 0 124.8 125 125 125 79.6 80 80.3 80 64.8 
196992416252240 13.3 13 2498 2500 25 2 91 0 0 0 0 8 0 0 0 0 0 0 0 0 0 124.4 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 79.6 80 80.3 80 65.2 
196992416252250 13.3 13 2497 2500 25 13 39 0 0 0 0 15 0 0 0 0 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 125 125 79.6 80 80.3 80 65.2 
196992416252260 13.3 13 2497 2500 25 33 10 0 0 0 0 18 0 0 0 0 0 0 0 0 0 124.8 125 124.2 0 0 0 0 0 0 0 0 0 125.2 125 124.6 125 79.6 80 80.3 80 65.2 
196992416252270 12.6 13 2497 2500 25 15 3 0 0 0 0 18 0 0 0 0 0 0 0 0 0 124.8 125 125 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 79.6 80 80.3 80 65.2 
196992416252280 12.6 13 2498 2500 25 3 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 124.8 125 125 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 79.6 80 80.3 80 65.2 
196992416252290 12.6 13 2498 2500 25 3 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 125.2 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 79.6 80 80.2 80 65.2 
196992416252300 12.6 13 2497 2500 25 5 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 124.8 125 124.5 0 0 0 0 0 0 0 0 0 124.8 125 124.6 125 79.6 80 80.2 80 65.2 
196992416252310 12.6 13 2499 2500 25 7 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 125.2 125 124.7 0 0 0 0 0 0 0 0 0 124.8 125 124.2 125 79.6 80 80.2 80 65.2 
