date_time v002 v003 v004 v005 v016 v035 v036 v044 v047 v048 v051 v052 v053 v070 v073 v074 v081 v082 v083 v084 v085 v086 v087 v088 v089 v090 v091 
196992416252520 13 13 2498 2500 20 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 125.2 125 124.6 125 79.6 80 79.9 80 65.3 
196992416252530 13 13 2498 2500 20 0 0 0 0 0 124.8 125 124.7 0 0 0 0 0 124.4 125 124.2 125 79.6 80 79.9 80 65.3 
196992416252540 13 13 2501 2500 21 0 2.3 0 0 0 124.4 71 124.7 12.7 0 0 0 0 124.8 399 124.2 0 79.6 80 79.9 80 65.1 
196992416252550 13 13 2498 2500 17 0 2.3 0 0 0 124.8 71 103.8 12.7 0 0 0 0 124.8 399 126.9 0 79.6 80 79.9 80 65.1 
196992416252560 13 13 2496 2500 16 0 2.3 0 0 0 124.8 71 120.9 12.7 0 0 0 0 124.8 399 125 0 79.6 80 79.9 80 65.1 
196992416252570 12.8 13 2497 2500 13 0 2.3 15 43.6 11 107.4 71 78.9 12.7 2.6 85 152.6 59 214.1 399 86.5 0 79.6 80 79.9 80 65.1 
196992416252580 12.8 13 2497 2500 34 1.1 2.3 15 27.6 11 89.6 71 47.7 12.7 8.6 85 75.9 59 306.3 399 46.9 0 79.6 80 79.9 80 65.1 
196992416252590 12.8 13 2494 2500 73 2.2 2.3 15 15.9 11 71.7 71 0 12.7 4.3 85 38.6 59 397.4 399 7.6 0 79.6 80 79.9 80 65.1 
196992416252600 12.8 13 2496 2500 83 2.2 2.3 15 2.7 11 70.4 71 0 12.7 21.9 85 40.8 59 398.3 399 0 0 79.6 80 79.9 80 65.1 
196992416252610 12.8 13 2497 2500 28 2.2 2.3 15 6.3 11 71.3 71 0 12.7 53.2 85 21.7 59 398.3 399 0 0 79.6 80 79.9 80 65.1 
196992416252620 14.8 13 2499 2500 13 2.2 2.3 15 10.4 11 70.8 71 0 12.7 83.3 85 12.1 59 398.3 399 0 0 79.6 80 79.9 80 65.1 
196992416252630 14.8 13 2498 2500 10 2.2 2.3 15 10.7 11 71.3 71 0 12.7 84.3 85 28.4 59 398.7 399 0 0 79.6 80 79.8 80 65.1 
196992416252640 14.8 13 2496 2500 140 2.2 2.3 15 10.8 11 70.8 71 0.2 12.7 84.5 85 57.4 59 398.3 399 0 0 79.6 80 79.8 80 65.2 
196992416252650 14.8 13 2496 2500 534 2.2 2.3 15 10.9 11 70.4 71 0 12.7 84.7 85 56.4 59 398.7 399 0 0 79.6 80 79.8 80 65.2 
196992416252660 14.8 13 2494 2500 466 2.2 2.3 15 10.9 11 70.8 71 0 12.7 84.8 85 59 59 398.7 399 0 0 79.6 80 79.8 80 65.2 
196992416252670 11.2 13 2496 2500 432 2.2 2.3 15 10.9 11 70.8 71 0 12.7 84.9 85 58.4 59 398.7 399 0 0 79.6 80 79.8 80 65.2 
196992416252680 11.2 13 2496 2500 410 2.2 2.3 15 10.9 11 71.3 71 0 12.7 84.8 85 58.4 59 398.3 399 0 0 79.6 80 79.8 80 65.2 
196992416252690 11.2 13 2496 2500 320 2.2 2.3 15 10.9 11 70.8 71 0.2 12.7 84.8 85 59 59 398.7 399 0 0 79.6 80 79.8 80 65.2 
196992416252700 11.2 13 2495 2500 246 2.2 2.3 15 10.9 11 70.8 71 0.2 12.7 84.9 85 58.7 59 398.3 399 0 0 79.6 80 79.8 80 65.2 
196992416252710 11.2 13 2499 2500 107 2.2 2.3 15 11 11 70.8 71 0.2 12.7 84.9 85 59 59 398.3 399 0 0 79.6 80 79.8 80 65.2 
