date_time v002 v003 v004 v005 v012 v016 v022 v051 v052 v053 v083 v084 v085 v086 v087 v088 v089 v090 v091 
196992416255470 102.2 100 1496 1500 25 6 67 124.4 125 124.7 124.8 125 125 125 80.4 80 81.3 80 64.1 
196992416255480 102.2 100 1499 1500 25 5 67 125.2 125 124.7 124.8 125 125 125 80.4 80 81.3 80 64.1 
196992416255490 102.2 100 1499 1500 0 4 66 124.8 125 124.7 124.4 125 124.6 125 80.4 80 81.3 80 64.1 
196992416255500 102.2 100 1497 1500 0 4 66 124.8 125 124.7 124.8 125 124.2 125 80.4 80 81.3 80 64.1 
196992416255510 102.2 100 1498 1500 0 6 0 124.8 125 124.5 124.8 125 124.6 125 80.5 80 81.5 80 64.1 
196992416255520 98.7 100 1496 1500 0 7 0 124.8 125 124.7 124.4 125 124.6 125 80.5 80 81.5 80 64.1 
196992416255530 98.7 100 1497 1500 0 1 0 124.8 125 124.7 124.8 125 124.6 125 80.5 80 81.5 80 64.1 
196992416255540 98.7 100 1499 1500 0 0 0 124.4 125 124.5 124.8 125 124.2 125 80.5 80 81.5 80 64.2 
196992416255550 98.7 100 1498 1500 0 14 0 124.8 125 124.5 124.8 125 124.2 125 80.5 80 81.5 80 64.2 
196992416255560 98.7 100 1498 1500 0 14 0 124.8 125 125 124.8 125 124.6 125 80.5 80 81.5 80 64.2 
196992416255570 100.7 100 1498 1500 0 14 0 124.8 125 124.7 124.8 125 125 125 80.5 80 81.5 80 64.2 
196992416255580 100.7 100 1497 1500 0 13 0 125.2 125 125 124.8 125 124.6 125 80.5 80 81.5 80 64.2 
196992416255590 100.7 100 1496 1500 0 13 0 124.4 125 124.7 124.8 125 124.6 125 80.5 80 81.5 80 64.2 
196992416255600 100.7 100 1496 1500 0 7 0 124.8 125 125 125.2 125 124.2 125 80.5 80 81.5 80 64.2 
196992416255610 100.7 100 1496 1500 0 9 0 124.8 125 124.7 124.8 125 124.6 125 80.5 80 81.5 80 64.2 
196992416255620 100.6 100 1499 1500 0 8 0 124.8 125 124.7 124.4 125 124.6 125 80.5 80 81.8 80 64.2 
196992416255630 100.6 100 1500 1500 0 10 0 124.8 125 124.7 125.2 125 124.6 125 80.5 80 81.8 80 64.2 
196992416255640 100.6 100 1496 1500 0 8 0 124.8 125 125 125.2 125 124.6 125 80.5 80 81.8 80 64.1 
196992416255650 100.6 100 1496 1500 0 7 0 125.2 125 124.7 124.8 125 124.2 125 80.5 80 81.8 80 64.1 
196992416255660 100.6 100 1496 1500 0 6 0 124.8 125 124.7 124.8 125 124.6 125 80.5 80 81.8 80 64.1 
