date_time v002 v003 v053 v085 v086 v087 v088 v089 v090 v091 
196992416265550 203.3 200 749.7 749.6 750 80.2 80 82.1 80 63.8 
196992416265560 203.3 200 749.7 749.1 750 80.2 80 82.1 80 63.8 
196992416265570 200.4 200 749.7 749.1 750 80.2 80 82.1 80 63.8 
196992416265580 200.4 200 749.7 749.6 750 80.2 80 82.1 80 63.8 
196992416265590 200.4 200 749.7 749.6 750 80.2 80 82.1 80 63.8 
196992416265600 200.4 200 749.7 749.6 750 80.2 80 82.1 80 63.8 
196992416265610 200.4 200 749.9 749.6 750 80.2 80 82.1 80 63.8 
196992416265620 196.3 200 749.7 749.6 750 80.2 80 82.1 80 63.8 
196992416265630 196.3 200 749.7 749.6 750 80.1 80 82 80 63.8 
196992416265640 196.3 200 749.7 749.6 750 80.1 80 82 80 63.9 
196992416265650 196.3 200 749.9 749.6 750 80.1 80 82 80 63.9 
196992416265660 196.3 200 749.7 749.6 750 80.1 80 82 80 63.9 
196992416265670 199.4 200 749.3 749.1 750 80.1 80 82 80 63.9 
196992416265680 199.4 200 749.7 750 750 80.1 80 82 80 63.9 
196992416265690 199.4 200 749.7 749.6 750 80.1 80 82 80 63.9 
196992416265700 199.4 200 749.7 749.6 750 80.1 80 82 80 63.9 
