date_time v002 v003 v012 v017 v022 v051 v052 v053 v083 v084 v085 v086 v087 v088 v089 v090 v091 
196992416249110 20 20 0 0 0 124.8 125 124.7 124.8 125 124.6 125 80 80 82.4 80 64.9 
196992416249120 20 20 0 0 0 124.8 125 124.5 124.4 125 124.6 125 80 80 82.4 80 64.9 
196992416249130 20 20 25 87 251 124.8 125 124.7 125.2 125 124.6 125 80 80 82.4 80 64.9 
196992416249140 20 20 25 74 298 124.4 125 125 124.8 125 124.6 125 80 80 82.4 80 64.9 
196992416249150 20 20 25 35 400 124.8 125 124.5 124.8 125 124.6 125 80 80 82.4 80 64.9 
196992416249160 20 20 25 40 412 124.4 125 124.7 124.8 125 125 125 80 80 82.4 80 64.9 
196992416249170 20 20 25 11 457 124.8 125 124.5 124.4 125 124.6 125 80 80 82.4 80 64.9 
196992416249180 20 20 25 1 479 125.2 125 124.7 124.8 125 124.6 125 80 80 82.4 80 64.9 
196992416249190 20 20 25 0 481 124.8 125 125 124.8 125 124.6 125 80 80 82.4 80 64.9 
196992416249200 20 20 25 0 482 124.8 125 124.7 124.8 125 124.6 125 80 80 82.4 80 64.9 
196992416249210 20 20 25 0 482 124.8 125 124.7 124.8 125 125 125 80 80 82.4 80 64.9 
196992416249220 20 20 25 0 483 124.8 125 125 125.2 125 124.6 125 80 80 82.4 80 64.9 
196992416249230 20 20 25 0 483 124.8 125 125 124.8 125 125 125 80 80 82.4 80 64.9 
196992416249240 20 20 25 0 483 124.8 125 124.7 125.2 125 124.6 125 80 80 82.4 80 65.3 
196992416249250 20 20 25 0 483 124.8 125 124.5 125.2 125 125 125 80 80 82.4 80 65.3 
