date_time v002 v003 v004 v005 v016 v037 v038 v051 v052 v053 v063 v064 v083 v084 v085 v086 v087 v088 v089 v090 v091 
196992416249610 20 20 1998 2000 10 0 0 124.8 125 124.7 0 0 124.8 125 124.6 125 79.9 80 82.3 80 65.2 
196992416249620 20 20 1995 2000 12 0 0 124.4 125 124.7 0 0 125.2 125 125 125 79.9 80 82.3 80 65.2 
196992416249630 20 20 1997 2000 11 0 5.1 129.3 0 125 4.4 44.9 135.1 0 124.2 900 79.9 80 82.3 80 65.2 
196992416249640 20 20 1998 2000 11 0 5.1 127.5 0 124.7 3.4 44.9 140.9 0 124.6 900 79.9 80 82.2 80 64.8 
196992416249650 20 20 2000 2000 12 0 5.1 126.2 0 124.7 2.5 44.9 89.6 0 124.6 900 79.9 80 82.2 80 64.8 
196992416249660 20 20 1997 2000 13 0 5.1 86 0 116.9 12.7 44.9 126.2 0 378.9 900 79.9 80 82.2 80 64.8 
196992416249670 20 20 1998 2000 11 2.9 5.1 43.2 0 108.6 28.4 44.9 33 0 641.3 900 79.9 80 82.2 80 64.8 
196992416249680 20 20 1996 2000 12 5 5.1 0 0 99.8 44.1 44.9 0 0 902.1 900 79.9 80 82.2 80 64.8 
196992416249690 20 20 1997 2000 12 4.9 5.1 0 0 99.8 44.5 44.9 0 0 900.9 900 79.9 80 82.2 80 64.8 
196992416249700 19.6 20 1997 2000 12 5.1 5.1 0 0 99.8 44.7 44.9 0 0 899.8 900 79.9 80 82.2 80 64.8 
196992416249710 19.6 20 1999 2000 19 5 5.1 0 0 99.8 44.8 44.9 0 0 899.8 900 79.9 80 82.2 80 64.8 
196992416249720 19.6 20 1997 2000 22 5 5.1 0 0 99.8 44.8 44.9 0 0 899.4 900 79.9 80 82.2 80 64.8 
196992416249730 19.6 20 1997 2000 3 5 5.1 0 0 99.8 44.8 44.9 0 0 899.4 900 79.9 80 82.2 80 64.8 
196992416249740 19.6 20 1998 2000 0 5 5.1 0 0 99.8 44.8 44.9 0 0 899.4 900 79.9 80 82.2 80 64.8 
196992416249750 22 20 1999 2000 0 5 5.1 0 0 99.8 44.8 44.9 0 0 899.8 900 79.9 80 82.2 80 64.8 
196992416249760 22 20 1998 2000 8 5 5.1 0 0 99.8 44.8 44.9 0 0 899.8 900 79.9 80 82.2 80 64.8 
196992416249770 22 20 1997 2000 30 5 5.1 0 0 100.1 44.8 44.9 0 0 900.6 900 79.9 80 82.2 80 64.8 
196992416249780 22 20 1998 2000 14 5 5.1 0 0 99.8 44.8 44.9 0 0 899.4 900 79.9 80 82.2 80 64.8 
196992416249790 22 20 1997 2000 8 5 5.1 0 0 99.8 44.8 44.9 0 0 899.8 900 79.9 80 82.2 80 64.8 
196992416249800 23.1 20 1999 2000 10 5 5.1 0 0 99.8 44.9 44.9 0 0 899.4 900 79.9 80 82.2 80 64.8 
